Ticker,Report Date,Currency,Fiscal Year,Fiscal Period,Revenue,Cost of Revenue,Operating Income (Loss),Operating Expenses,Depreciation & Amortization,EBITDA,country_code,primary_ticker,account_number,organization,survey_year,response_received_date,country,region,authority_types,activities,sectors,industries,primary_activity,primary_sector,primary_industry,primary_questionnaire_sector
CMCO,3/31/20,USD,2019,FY,809162000,-525976000,90000000,-193186000,29126000,119126000,,,,,,,,,,,,,,,,
CMCSA,12/31/17,USD,2017,FY,84526000000,-25384000000,17987000000,-41155000000,9825000000,27812000000,,,,,,,,,,,,,,,,
CMCSA,12/31/18,USD,2018,FY,94507000000,-29692000000,19009000000,-45806000000,10676000000,29685000000,US,CMCSA US,3635,Comcast Corporation,2018,2018-09-14T00:00:00Z,United States of America,," Investor, Supply Chain"," Marketing, Media, Recreation & entertainment facilities"," Entertainment facilities, Media, telecommunications & data center services, Web & marketing services"," Hospitality, Services",Marketing,Web & marketing services,Services,General
CMCSA,12/31/19,USD,2019,FY,1.08942E+11,-34440000000,21125000000,-53377000000,12953000000,34078000000,US,CMCSA US,3635,Comcast Corporation,2019,2019-07-31T12:39:11Z,United States of America,," Investor, Supply Chain"," Marketing, Media, Recreation & entertainment facilities"," Entertainment facilities, Media, telecommunications & data center services, Web & marketing services"," Hospitality, Services",Media,"Media, telecommunications & data center services",Services,General
CMD,7/31/17,USD,2017,FY,770157000,-402997000,110410000,-256750000,33452000,143862000,,,,,,,,,,,,,,,,
CMD,7/31/18,USD,2018,FY,871922000,-457951000,121664000,-292307000,34830000,156494000,,,,,,,,,,,,,,,,
CMD,7/31/19,USD,2019,FY,918155000,-490701000,83519000,-343935000,42359000,125878000,,,,,,,,,,,,,,,,
CMD,7/31/20,USD,2020,FY,1016048000,-580075000,48307000,-387666000,63402000,111709000,,,,,,,,,,,,,,,,
CME,12/31/17,USD,2017,FY,3644700000,-1008200000,2312000000,-324500000,208500000,2520500000,,,,,,,,,,,,,,,,
CME,12/31/18,USD,2018,FY,4309400000,-1126100000,2607600000,-575700000,248700000,2856300000,,,,,,,,,,,,,,,,
CME,12/31/19,USD,2019,FY,4868000000,-1446500000,2587800000,-833700000,473300000,3061100000,,,,,,,,,,,,,,,,
CMG,12/31/17,USD,2017,FY,4476412000,-3068552000,284139000,-1123721000,163348000,447487000,,,,,,,,,,,,,,,,
CMG,12/31/18,USD,2018,FY,4864985000,-3273962000,325007000,-1266016000,201979000,526986000,,,,,,,,,,,,,,,,
CMG,12/31/19,USD,2019,FY,5586369000,-3683048000,467052000,-1436269000,212778000,679830000,,,,,,,,,,,,,,,,
CMI,12/31/17,USD,2017,FY,20428000000,-15338000000,2013000000,-3077000000,583000000,2596000000,,,,,,,,,,,,,,,,
CMI,12/31/18,USD,2018,FY,23771000000,-18034000000,2392000000,-3345000000,611000000,3003000000,US,CMI US,4136,Cummins Inc.,2018,2018-09-25T00:00:00Z,United States of America,," Investor, Supply Chain"," Dealers, wholesalers & distributors, Engines & motors, Fabricated metal components, Industrial machinery, Transportation equipment wholesale & dealing"," Metal products manufacturing, Powered machinery, Trading, wholesale, distribution, rental & leasing"," Manufacturing, Retail",Engines & motors,Powered machinery,Manufacturing,Transport OEMS - EPM
CMI,12/31/19,USD,2019,FY,23571000000,-17591000000,2489000000,-3491000000,672000000,3161000000,US,CMI US,4136,Cummins Inc.,2019,2019-08-02T21:22:27Z,United States of America,," Investor, Supply Chain"," Dealers, wholesalers & distributors, Engines & motors, Fabricated metal components, Industrial machinery, Transportation equipment wholesale & dealing"," Metal products manufacturing, Powered machinery, Trading, wholesale, distribution, rental & leasing"," Manufacturing, Retail",Engines & motors,Powered machinery,Manufacturing,
CMLS,12/31/17,USD,2017,FY,1135662000,-413862000,122964000,-598836000,62239000,185203000,,,,,,,,,,,,,,,,
CMP,12/31/17,USD,2017,FY,1364400000,-1037800000,159200000,-167400000,122200000,281400000,,,,,,,,,,,,,,,,
CMP,12/31/18,USD,2018,FY,1493600000,-1199700000,130300000,-163600000,136900000,267200000,US,CMP US,40241,Compass Minerals International Inc,2018,2018-08-15T00:00:00Z,United States of America,, Investor," Non-nitrogenous fertilizers, Other non-metallic minerals"," Chemicals, Other mineral mining", Materials,Other non-metallic minerals,Other mineral mining,Materials,Metals & mining
CMP,12/31/19,USD,2019,FY,1490500000,-1153700000,163600000,-173200000,137900000,301500000,,,,,,,,,,,,,,,,
CMPR,6/30/17,USD,2017,FY,2135405000,-1036975000,-9446000,-1107876000,158400000,148954000,,,,,,,,,,,,,,,,
CMPR,6/30/18,USD,2018,FY,2592541000,-1279799000,125491000,-1187251000,169005000,294496000,,,,,,,,,,,,,,,,
CMPR,6/30/19,USD,2019,FY,2751076000,-1401344000,183164000,-1166568000,173771000,356935000,,,,,,,,,,,,,,,,
CMPR,6/30/20,USD,2020,FY,2481358000,-1248871000,170354000,-1062133000,167943000,338297000,,,,,,,,,,,,,,,,
CMS,12/31/17,USD,2017,FY,6583000000,-2844000000,1338000000,-2401000000,881000000,2219000000,,,,,,,,,,,,,,,,
CMS,12/31/18,USD,2018,FY,6873000000,-3058000000,1162000000,-2653000000,933000000,2095000000,US,CMS US,3538,CMS Energy Corporation,2018,2018-08-15T00:00:00Z,United States of America,," Investor, Supply Chain"," Banks, CCGT generation, Gas utilities, Non-CCGT generation"," Energy utility networks, Financial services, Thermal power generation"," Infrastructure, Power generation, Services",CCGT generation,Thermal power generation,Power generation,Electric utilities
CMS,12/31/19,USD,2019,FY,6845000000,-2833000000,1239000000,-2773000000,992000000,2231000000,US,CMS US,3538,CMS Energy Corporation,2019,2019-07-31T18:23:09Z,United States of America,," Investor, Supply Chain"," Banks, CCGT generation, Gas utilities, Non-CCGT generation"," Energy utility networks, Financial services, Thermal power generation"," Infrastructure, Power generation, Services",CCGT generation,Thermal power generation,Power generation,Electric utilities
CMTL,7/31/17,USD,2017,FY,550368000,-332183000,25022000,-193163000,37177000,62199000,,,,,,,,,,,,,,,,
CMTL,7/31/18,USD,2018,FY,570589000,-346648000,35075000,-188866000,34730000,69805000,,,,,,,,,,,,,,,,
CMTL,7/31/19,USD,2019,FY,671797000,-424357000,44074000,-203366000,30247000,74321000,,,,,,,,,,,,,,,,
CMTL,7/31/20,USD,2020,FY,616715000,-389882000,35928000,-190905000,32156000,68084000,,,,,,,,,,,,,,,,
CNA,12/31/17,USD,2017,FY,9542000000,,7080000000,-2462000000,88000000,7168000000,,,,,,,,,,,,,,,,
CNA,12/31/18,USD,2018,FY,10134000000,,7597000000,-2537000000,79000000,7676000000,,,,,,,,,,,,,,,,
CNA,12/31/19,USD,2019,FY,10767000000,,8242000000,-2525000000,68000000,8310000000,,,,,,,,,,,,,,,,
CNC,12/31/17,USD,2017,FY,48382000000,-39698000000,1199000000,-7485000000,361000000,1560000000,,,,,,,,,,,,,,,,
CNC,12/31/18,USD,2018,FY,60116000000,-48443000000,1458000000,-10215000000,495000000,1953000000,,,,,,,,,,,,,,,,
CNC,12/31/19,USD,2019,FY,74639000000,-61327000000,2052000000,-11260000000,643000000,2695000000,,,,,,,,,,,,,,,,
CNDT,12/31/17,USD,2017,FY,6022000000,-4977000000,192000000,-853000000,497000000,689000000,,,,,,,,,,,,,,,,
CNDT,12/31/18,USD,2018,FY,5393000000,-4182000000,175000000,-1036000000,460000000,635000000,,,,,,,,,,,,,,,,
CNDT,12/31/19,USD,2019,FY,4467000000,-3494000000,37000000,-936000000,459000000,496000000,,,,,,,,,,,,,,,,
CNK,12/31/17,USD,2017,FY,2991547000,,430178000,-2561369000,237513000,667691000,,,,,,,,,,,,,,,,
CNK,12/31/18,USD,2018,FY,3221735000,,459425000,-2762310000,261162000,720587000,,,,,,,,,,,,,,,,
CNK,12/31/19,USD,2019,FY,3283099000,,407396000,-2875703000,261155000,668551000,,,,,,,,,,,,,,,,
CNNX,12/31/17,USD,2017,FY,233848000,-25513000,142536000,-65799000,22860000,165396000,,,,,,,,,,,,,,,,
CNNX,12/31/18,USD,2018,FY,256668000,-19814000,165110000,-71744000,23540000,188650000,,,,,,,,,,,,,,,,
CNNX,12/31/19,USD,2019,FY,305797000,-22943000,212822000,-70032000,26256000,239078000,,,,,,,,,,,,,,,,
CNP,12/31/17,USD,2017,FY,9614000000,-4894000000,1072000000,-3648000000,1036000000,2108000000,,,,,,,,,,,,,,,,
CNP,12/31/18,USD,2018,FY,10589000000,-5774000000,831000000,-3984000000,1243000000,2074000000,,,,,,,,,,,,,,,,
CNP,12/31/19,USD,2019,FY,12301000000,-5712000000,1274000000,-5315000000,1287000000,2561000000,,,,,,,,,,,,,,,,
CNS,12/31/17,USD,2017,FY,378194000,,154746000,-223448000,,154746000,,,,,,,,,,,,,,,,
CNS,12/31/18,USD,2018,FY,381111000,,147038000,-234073000,,147038000,,,,,,,,,,,,,,,,
CNS,12/31/19,USD,2019,FY,410830000,,160134000,-250696000,,160134000,,,,,,,,,,,,,,,,
CNSL,12/31/17,USD,2017,FY,1059574000,-445998000,72562000,-541014000,291873000,364435000,,,,,,,,,,,,,,,,
CNSL,12/31/18,USD,2018,FY,1399074000,-611872000,20929000,-766273000,432668000,453597000,,,,,,,,,,,,,,,,
CNSL,12/31/19,USD,2019,FY,1336542000,-574936000,81281000,-680325000,381237000,462518000,,,,,,,,,,,,,,,,
CNXR,12/31/17,USD,2017,FY,76746000,-47062000,-11729000,-41413000,4403000,-7326000,,,,,,,,,,,,,,,,
CODA,10/31/17,USD,2017,FY,18025173,-6057448,3818017,-8149708,953626,4771643,,,,,,,,,,,,,,,,
CODA,10/31/18,USD,2018,FY,18019429,-5357067,3310767,-9351595,758408,4069175,,,,,,,,,,,,,,,,
CODA,10/31/19,USD,2019,FY,25056934,-8627615,6253437,-10175882,833775,7087212,,,,,,,,,,,,,,,,
CODI,12/31/17,USD,2017,FY,1269729000,-822020000,44529000,-403180000,22388000,66917000,,,,,,,,,,,,,,,,
CODI,12/31/18,USD,2018,FY,1691673000,-1117485000,69318000,-504870000,31195000,100513000,,,,,,,,,,,,,,,,
CODI,12/31/19,USD,2019,FY,1450253000,-930810000,93077000,-426366000,33153000,126230000,,,,,,,,,,,,,,,,
COG,12/31/17,USD,2017,FY,1764219000,-632488000,443602000,-688129000,568817000,1012419000,,,,,,,,,,,,,,,,
COG,12/31/18,USD,2018,FY,2188148000,-773217000,786991000,-627940000,417479000,1204470000,,,,,,,,,,,,,,,,
COG,12/31/19,USD,2019,FY,2066277000,-668688000,876716000,-520873000,405733000,1282449000,,,,,,,,,,,,,,,,
COHR,9/30/17,USD,2017,FY,1723311000,-973042000,322995000,-427274000,43689000,366684000,,,,,,,,,,,,,,,,
COHR,9/30/18,USD,2018,FY,1902573000,-1071882000,393783000,-436908000,53342000,447125000,,,,,,,,,,,,,,,,
COHR,9/30/19,USD,2019,FY,1430640000,-944175000,83095000,-403370000,54925000,138020000,,,,,,,,,,,,,,,,
COKE,12/31/17,USD,2017,FY,4323668000,-2782721000,96179000,-1444768000,168841000,265020000,,,,,,,,,,,,,,,,
COKE,12/31/18,USD,2018,FY,4625364000,-3069652000,57902000,-1497810000,164502000,222404000,,,,,,,,,,,,,,,,
COKE,12/31/19,USD,2019,FY,4826549000,-3156047000,180754000,-1489748000,156886000,337640000,,,,,,,,,,,,,,,,
COL,9/30/17,USD,2017,FY,6822000000,-4868000000,1222000000,-732000000,168000000,1390000000,,,,,,,,,,,,,,,,
COL,9/30/18,USD,2018,FY,8665000000,-6382000000,1466000000,-817000000,204000000,1670000000,,,,,,,,,,,,,,,,
COLM,12/31/17,USD,2017,FY,2466105000,-1306143000,249068000,-910894000,59945000,309013000,,,,,,,,,,,,,,,,
COLM,12/31/18,USD,2018,FY,2802326000,-1415978000,335196000,-1051152000,58230000,393426000,,,,,,,,,,,,,,,,
COLM,12/31/19,USD,2019,FY,3042478000,-1526808000,379484000,-1136186000,121725000,501209000,,,,,,,,,,,,,,,,
COMM,12/31/17,USD,2017,FY,4560582000,-2788688000,521392000,-1250502000,378012000,899404000,,,,,,,,,,,,,,,,
COMM,12/31/18,USD,2018,FY,4568507000,-2880223000,508993000,-1179291000,357458000,866451000,US,COMM US,3654,"CommScope, Inc.",2018,2018-08-29T00:00:00Z,United States of America,," Investor, Supply Chain", Communications equipment, Electrical & electronic equipment, Manufacturing,Communications equipment,Electrical & electronic equipment,Manufacturing,General
COMM,12/31/19,USD,2019,FY,8345100000,-5941000000,-44700000,-2448800000,770900000,726200000,US,COMM US,3654,"CommScope, Inc.",2019,2019-07-31T23:46:11Z,United States of America,," Investor, Supply Chain", Communications equipment, Electrical & electronic equipment, Manufacturing,Communications equipment,Electrical & electronic equipment,Manufacturing,General
CONN,1/31/18,USD,2017,FY,1516031000,-720344000,115068000,-680619000,45083000,160151000,,,,,,,,,,,,,,,,
CONN,1/31/19,USD,2018,FY,1549813000,-702135000,169035000,-678643000,42224000,211259000,,,,,,,,,,,,,,,,
CONN,1/31/20,USD,2019,FY,1543686000,-697784000,134519000,-711383000,36841000,171360000,,,,,,,,,,,,,,,,
COO,10/31/17,USD,2017,FY,2139000000,-773200000,429100000,-936700000,188400000,617500000,,,,,,,,,,,,,,,,
COO,10/31/18,USD,2018,FY,2532800000,-900500000,427500000,-1204800000,275100000,702600000,,,,,,,,,,,,,,,,
COO,10/31/19,USD,2019,FY,2653400000,-896600000,528100000,-1228700000,280800000,808900000,,,,,,,,,,,,,,,,
COOL,12/31/17,USD,2017,FY,0,0,-2378961,-2378961,,-2378961,,,,,,,,,,,,,,,,
COOL,12/31/18,USD,2018,FY,0,0,-2259621,-2259621,,-2259621,,,,,,,,,,,,,,,,
COP,12/31/17,USD,2017,FY,29106000000,-12475000000,2305000000,-14326000000,6845000000,9150000000,,,,,,,,,,,,,,,,
COP,12/31/18,USD,2018,FY,36417000000,-14294000000,9136000000,-12987000000,5956000000,15092000000,US,COP US,3751,ConocoPhillips,2018,2018-08-08T00:00:00Z,United States of America,," Investor, Supply Chain"," Natural gas extraction, Oil & gas extraction", Oil & gas extraction & production, Fossil Fuels,Oil & gas extraction,Oil & gas extraction & production,Fossil Fuels,Oil & gas
COP,12/31/19,USD,2019,FY,32567000000,-11842000000,7061000000,-13664000000,6090000000,13151000000,US,COP US,3751,ConocoPhillips,2019,2019-07-29T19:29:44Z,United States of America,," Investor, Supply Chain"," Natural gas extraction, Oil & gas extraction", Oil & gas extraction & production, Fossil Fuels,Oil & gas extraction,Oil & gas extraction & production,Fossil Fuels,Oil & gas
COR,12/31/17,USD,2017,FY,481821000,,124812000,-357009000,128653000,253465000,,,,,,,,,,,,,,,,
COR,12/31/18,USD,2018,FY,544392000,,142279000,-402113000,141053000,283332000,,,,,,,,,,,,,,,,
COR,12/31/19,USD,2019,FY,572727000,,140816000,-431911000,152671000,293487000,,,,,,,,,,,,,,,,
CORT,12/31/17,USD,2017,FY,159201000,-3554000,52855000,-102792000,106000,52961000,,,,,,,,,,,,,,,,
CORT,12/31/18,USD,2018,FY,251247000,-5215000,89496000,-156536000,236000,89732000,,,,,,,,,,,,,,,,
CORT,12/31/19,USD,2019,FY,306486000,-5504000,111606000,-189376000,0,111606000,,,,,,,,,,,,,,,,
COST,8/31/17,USD,2017,FY,1.29025E+11,-1.11882E+11,4111000000,-13032000000,1370000000,5481000000,,,,,,,,,,,,,,,,
COST,8/31/18,USD,2018,FY,1.41576E+11,-1.23152E+11,4480000000,-13944000000,1437000000,5917000000,US,COST US,3944,Costco Wholesale Corporation,2018,2018-07-18T00:00:00Z,United States of America,, Investor," Hypermarkets & superstores, Supermarkets, food & drugstores", Convenience retail, Retail,"Supermarkets, food & drugstores",Convenience retail,Retail,General
COST,8/31/19,USD,2019,FY,1.52703E+11,-1.32886E+11,4737000000,-15080000000,1492000000,6229000000,US,COST US,3944,Costco Wholesale Corporation,2019,2019-08-28T21:06:03Z,United States of America,, Investor," Hypermarkets & superstores, Supermarkets, food & drugstores", Convenience retail, Retail,Hypermarkets & superstores,Convenience retail,Retail,General
COST,8/31/20,USD,2020,FY,1.66761E+11,-1.44939E+11,5435000000,-16387000000,1645000000,7080000000,US,COST US,3944,Costco Wholesale Corporation,2020,2020-09-24T22:00:58Z,United States of America,, Investor," Hypermarkets & superstores, Supermarkets, food & drugstores", Convenience retail, Retail,Hypermarkets & superstores,Convenience retail,Retail,General
COT,12/31/17,USD,2017,FY,2269700000,-1142000000,85000000,-1042700000,188600000,273600000,,,,,,,,,,,,,,,,
COT,12/31/18,USD,2018,FY,2372900000,-1197300000,83500000,-1092100000,194600000,278100000,,,,,,,,,,,,,,,,
COT,12/31/19,USD,2019,FY,2394500000,-1166700000,114800000,-1113000000,192800000,307600000,,,,,,,,,,,,,,,,
COTV,12/31/17,USD,2017,FY,678661000,-251127000,165839000,-261695000,85183000,251022000,,,,,,,,,,,,,,,,
COTY,6/30/17,USD,2017,FY,7650300000,-3028500000,286700000,-4335100000,555100000,841800000,,,,,,,,,,,,,,,,
COTY,6/30/18,USD,2018,FY,9398000000,-3608400000,427200000,-5362400000,737000000,1164200000,,,,,,,,,,,,,,,,
COTY,6/30/19,USD,2019,FY,8648500000,-3306500000,424600000,-4917400000,736000000,1160600000,,,,,,,,,,,,,,,,
COTY,6/30/20,USD,2020,FY,4717800000,-1991200000,-626500000,-3353100000,716500000,90000000,US,COTY US,34996,Coty International,2020,2020-08-26T16:08:16Z,United States of America,," Investor, Supply Chain", Personal care & household products, Chemicals, Materials,Personal care & household products,Chemicals,Materials,General
COUP,1/31/18,USD,2017,FY,186780000,-59906000,-44962000,-171836000,7562000,-37400000,,,,,,,,,,,,,,,,
COUP,1/31/19,USD,2018,FY,260366000,-83454000,-47360000,-224272000,10442000,-36918000,,,,,,,,,,,,,,,,
CP,12/31/17,USD,2017,FY,6554000000,-1902000000,2793000000,-1859000000,661000000,3454000000,,,,,,,,,,,,,,,,
CP,12/31/18,USD,2018,FY,7316000000,-2587000000,2831000000,-1898000000,696000000,3527000000,CN,CP CN,2666,Canadian Pacific Railway,2018,2018-08-28T00:00:00Z,Canada,," Investor, Supply Chain"," Rail freight, Transportation support services"," Industrial support services, Rail transport"," Services, Transportation services",Rail freight,Rail transport,Transportation services,Transport services
CP,12/31/19,USD,2019,FY,7792000000,-2632000000,3124000000,-2036000000,706000000,3830000000,CN,CP CN,2666,Canadian Pacific Railway,2019,2019-08-29T00:12:48Z,Canada,," Investor, Supply Chain"," Rail freight, Transportation support services"," Industrial support services, Rail transport"," Services, Transportation services",Rail freight,Rail transport,Transportation services,Transport services
CPB,7/31/17,USD,2017,FY,5837000000,-3395000000,1442000000,-1000000000,318000000,1760000000,,,,,,,,,,,,,,,,
CPB,7/31/18,USD,2018,FY,6615000000,-4241000000,1065000000,-1309000000,394000000,1459000000,US,CPB US,2611,Campbell Soup Company,2018,2018-08-15T00:00:00Z,United States of America,, Investor," Baked goods & cereals, Other food processing", Food & beverage processing," Food, beverage & agriculture",Other food processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco"
CPB,7/31/19,USD,2019,FY,8107000000,-5414000000,1010000000,-1683000000,446000000,1456000000,US,CPB US,2611,Campbell Soup Company,2019,2019-08-29T01:53:49Z,United States of America,, Investor," Baked goods & cereals, Other food processing", Food & beverage processing," Food, beverage & agriculture",Other food processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco"
CPB,7/31/20,USD,2020,FY,8691000000,-5692000000,1116000000,-1883000000,328000000,1444000000,US,CPB US,2611,Campbell Soup Company,2020,2020-09-29T14:20:19Z,United States of America,, Investor," Baked goods & cereals, Other food processing", Food & beverage processing," Food, beverage & agriculture",Other food processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco"
CPN,12/31/17,USD,2017,FY,8752000000,-7503000000,370000000,-879000000,921000000,1291000000,,,,,,,,,,,,,,,,
CPN,12/31/18,USD,2018,FY,9512000000,-7867000000,748000000,-897000000,848000000,1596000000,,,,,,,,,,,,,,,,
CPN,12/31/19,USD,2019,FY,10072000000,-7584000000,1644000000,-844000000,781000000,2425000000,,,,,,,,,,,,,,,,
CPRT,7/31/17,USD,2017,FY,1447981000,-815953000,480664000,-151364000,57441000,538105000,,,,,,,,,,,,,,,,
CPRT,7/31/18,USD,2018,FY,1805695000,-1043329000,585476000,-176890000,79040000,664516000,,,,,,,,,,,,,,,,
CPRT,7/31/19,USD,2019,FY,2041957000,-1143615000,716475000,-181867000,85334000,801809000,,,,,,,,,,,,,,,,
CPRT,7/31/20,USD,2020,FY,2205583000,-1197781000,816099000,-191703000,104257000,920356000,,,,,,,,,,,,,,,,
CPS,12/31/17,USD,2017,FY,3618126000,-2946828000,307746000,-363552000,138088000,445834000,,,,,,,,,,,,,,,,
CPS,12/31/18,USD,2018,FY,3629293000,-3075737000,223907000,-329649000,146698000,370605000,,,,,,,,,,,,,,,,
CPS,12/31/19,USD,2019,FY,3108400000,-2749278000,38660000,-320462000,151953000,190613000,,,,,,,,,,,,,,,,
CPSI,12/31/17,USD,2017,FY,276927000,-129654000,33592000,-113681000,2473000,36065000,,,,,,,,,,,,,,,,
CPSI,12/31/18,USD,2018,FY,280411000,-130683000,35369000,-114359000,1795000,37164000,,,,,,,,,,,,,,,,
CPSI,12/31/19,USD,2019,FY,274634000,-130489000,35589000,-108556000,1407000,36996000,,,,,,,,,,,,,,,,
CPST,3/31/18,USD,2017,FY,82837000,-67856000,-8668000,-23649000,1170000,-7498000,,,,,,,,,,,,,,,,
CPST,3/31/19,USD,2018,FY,83412000,-73960000,-15106000,-24558000,1261000,-13845000,,,,,,,,,,,,,,,,
CPST,3/31/20,USD,2019,FY,68926000,-59895000,-16829000,-25860000,1616000,-15213000,,,,,,,,,,,,,,,,
CPT,12/31/17,USD,2017,FY,912083000,-328742000,222496000,-360845000,263974000,486470000,,,,,,,,,,,,,,,,
CPT,12/31/18,USD,2018,FY,963837000,-343579000,245080000,-375178000,300946000,546026000,,,,,,,,,,,,,,,,
CPT,12/31/19,USD,2019,FY,1040247000,-366347000,231682000,-442218000,336274000,567956000,,,,,,,,,,,,,,,,
CQH,12/31/17,USD,2017,FY,,,-1284000,-1284000,,-1284000,,,,,,,,,,,,,,,,
CQP,12/31/17,USD,2017,FY,4304000000,-2320000000,1156000000,-828000000,339000000,1495000000,,,,,,,,,,,,,,,,
CQP,12/31/18,USD,2018,FY,6426000000,-3403000000,1987000000,-1036000000,424000000,2411000000,,,,,,,,,,,,,,,,
CQP,12/31/19,USD,2019,FY,6838000000,-3381000000,2047000000,-1410000000,527000000,2574000000,,,,,,,,,,,,,,,,
CR,12/31/17,USD,2017,FY,2786000000,-1770900000,409700000,-605400000,72700000,482400000,,,,,,,,,,,,,,,,
CR,12/31/18,USD,2018,FY,3345500000,-2156200000,441300000,-748000000,120000000,561300000,,,,,,,,,,,,,,,,
CR,12/31/19,USD,2019,FY,3283100000,-2104100000,210400000,-968600000,113500000,323900000,,,,,,,,,,,,,,,,
CRAY,12/31/17,USD,2017,FY,392509000,-261805000,-57080000,-187784000,16760000,-40320000,,,,,,,,,,,,,,,,
CRAY,12/31/18,USD,2018,FY,455948000,-325970000,-73772000,-203750000,16065000,-57707000,,,,,,,,,,,,,,,,
CRC,12/31/17,USD,2017,FY,2006000000,-876000000,63000000,-1067000000,544000000,607000000,,,,,,,,,,,,,,,,
CRC,12/31/18,USD,2018,FY,3064000000,-912000000,769000000,-1383000000,502000000,1271000000,US,CRC US,59242,California Resources Corp,2018,2018-09-06T00:00:00Z,United States of America,, Investor," Oil & gas extraction, Oil & gas refining"," Oil & gas extraction & production, Oil & gas processing", Fossil Fuels,Oil & gas extraction,Oil & gas extraction & production,Fossil Fuels,Oil & gas
CRC,12/31/19,USD,2019,FY,2634000000,-895000000,429000000,-1310000000,471000000,900000000,US,CRC US,59242,California Resources Corp,2019,2019-08-28T15:39:05Z,United States of America,, Investor," Oil & gas extraction, Oil & gas refining"," Oil & gas extraction & production, Oil & gas processing", Fossil Fuels,Oil & gas extraction,Oil & gas extraction & production,Fossil Fuels,Oil & gas
CREE,6/30/17,USD,2017,FY,1473000000,-1038428000,-1152000,-435724000,150508000,149356000,,,,,,,,,,,,,,,,
CREE,6/30/18,USD,2018,FY,1493680000,-1086038000,-40168000,-447810000,153937000,113769000,US,CREE US,34285,CREE INC.,2018,2018-08-15T00:00:00Z,United States of America,," Investor, Supply Chain"," Electrical equipment, Electronic components", Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,General
CREE,6/30/19,USD,2019,FY,1080000000,-689000000,4400000,-386600000,143600000,148000000,US,CREE US,34285,CREE INC.,2019,2019-07-30T23:24:10Z,United States of America,," Investor, Supply Chain"," Electrical equipment, Electronic components", Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,General
CREE,6/30/20,USD,2020,FY,903900000,-655600000,-193500000,-441800000,123900000,-69600000,US,CREE US,34285,CREE INC.,2020,2020-08-27T00:27:48Z,United States of America,, Supply Chain," Electrical equipment, Electronic components", Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,Capital goods
CRIS,12/31/17,USD,2017,FY,9898000,,-49760000,-59658000,235000,-49525000,,,,,,,,,,,,,,,,
CRIS,12/31/18,USD,2018,FY,10428000,,-29333000,-39761000,177000,-29156000,,,,,,,,,,,,,,,,
CRIS,12/31/19,USD,2019,FY,10004000,,-24356000,-34360000,125000,-24231000,,,,,,,,,,,,,,,,
CRL,12/31/17,USD,2017,FY,1857601000,-1155287000,287498000,-414816000,131159000,418657000,,,,,,,,,,,,,,,,
CRL,12/31/18,USD,2018,FY,2266096000,-1426029000,331383000,-508684000,161779000,493162000,US,CRL US,40228,Charles River Laboratories International Inc.,2018,2018-09-10T00:00:00Z,United States of America,, Supply Chain, Biotechnology, Biotech & pharma," Biotech, health care & pharma",Biotechnology,Biotech & pharma,"Biotech, health care & pharma",General
CRL,12/31/19,USD,2019,FY,2621226000,-1662915000,351151000,-607160000,198095000,549246000,US,CRL US,40228,Charles River Laboratories International Inc.,2019,2019-07-31T21:42:06Z,United States of America,," Investor, Supply Chain", Biotechnology, Biotech & pharma," Biotech, health care & pharma",Biotechnology,Biotech & pharma,"Biotech, health care & pharma",General
CRM,1/31/18,USD,2017,FY,10480012000,-2773522000,235768000,-7470722000,752600000,988368000,,,,,,,,,,,,,,,,
CRM,1/31/19,USD,2018,FY,13282000000,-3451000000,535000000,-9296000000,962000000,1497000000,US,CRM US,16158,"Salesforce.com, Inc.",2018,2018-08-28T00:00:00Z,United States of America,," Investor, Supply Chain"," Other professional services, Software"," IT & software development, Specialized professional services", Services,Software,IT & software development,Services,General
CRM,1/31/20,USD,2019,FY,17098000000,-4235000000,463000000,-12400000000,2135000000,2598000000,US,CRM US,16158,"Salesforce.com, Inc.",2019,2019-09-29T22:28:44Z,United States of America,," Investor, Supply Chain"," Other professional services, Software"," IT & software development, Specialized professional services", Services,Software,IT & software development,Services,General
CROX,12/31/17,USD,2017,FY,1023513000,-506292000,22620000,-494601000,33130000,55750000,,,,,,,,,,,,,,,,
CROX,12/31/18,USD,2018,FY,1088205000,-528051000,65126000,-495028000,29250000,94376000,,,,,,,,,,,,,,,,
CROX,12/31/19,USD,2019,FY,1230593000,-613537000,128649000,-488407000,24213000,152862000,,,,,,,,,,,,,,,,
CRR,12/31/17,USD,2017,FY,188756000,-242081000,-95858000,-42533000,44282000,-51576000,,,,,,,,,,,,,,,,
CRR,12/31/18,USD,2018,FY,210745000,-233434000,-64252000,-41563000,34605000,-29647000,,,,,,,,,,,,,,,,
CRR,12/31/19,USD,2019,FY,161707000,-167469000,-299030000,-293268000,30707000,-268323000,,,,,,,,,,,,,,,,
